feature_code,year,measurement,units,value,alcohol_condition,hospital_activity,type_of_hospital,hb_assign
S12000026,2016/2017,count,stays,150,Harmful Use,stays,general acute hospital,S08000016
S12000026,2015/2016,count,stays,147,Harmful Use,stays,general acute hospital,S08000016
S12000026,2010/2011,count,stays,57,Unspecified,stays,general acute hospital,S08000016
S12000026,2018/2019,count,stays,126,Harmful Use,stays,general acute hospital,S08000016
S12000026,2011/2012,count,stays,69,Unspecified,stays,general acute hospital,S08000016
S12000026,2009/2010,count,stays,42,Withdrawal state,stays,general acute hospital,S08000016
S12000026,2011/2012,count,stays,204,Acute Intoxication,stays,general acute hospital,S08000016
S12000026,2012/2013,count,stays,156,Acute Intoxication,stays,general acute hospital,S08000016
S12000026,2010/2011,count,stays,66,Toxic Effects of Alcohol,stays,general acute hospital,S08000016
S12000026,2014/2015,count,stays,117,Acute Intoxication,stays,general acute hospital,S08000016
S12000026,2010/2011,count,stays,60,Alcohol Dependence syndrome,stays,general acute hospital,S08000016
S12000026,2010/2011,count,stays,159,Acute Intoxication,stays,general acute hospital,S08000016
S12000026,2011/2012,count,stays,75,Alcohol Dependence syndrome,stays,general acute hospital,S08000016
S12000026,2013/2014,count,stays,189,Acute Intoxication,stays,general acute hospital,S08000016
S12000026,2009/2010,count,stays,66,Unspecified,stays,general acute hospital,S08000016
S12000026,2017/2018,count,stays,147,Harmful Use,stays,general acute hospital,S08000016
S12000026,2018/2019,count,stays,51,Alcohol Dependence syndrome,stays,general acute hospital,S08000016
S12000026,2018/2019,count,stays,84,Withdrawal state,stays,general acute hospital,S08000016
S12000026,2014/2015,count,stays,63,Unspecified,stays,general acute hospital,S08000016
S12000026,2016/2017,count,stays,39,Unspecified,stays,general acute hospital,S08000016
S12000026,2013/2014,count,stays,66,Toxic Effects of Alcohol,stays,general acute hospital,S08000016
S12000026,2009/2010,count,stays,258,Harmful Use,stays,general acute hospital,S08000016
S12000026,2018/2019,count,stays,48,Cirrhosis,stays,general acute hospital,S08000016
S12000026,2011/2012,count,stays,21,Cirrhosis,stays,general acute hospital,S08000016
S12000026,2010/2011,count,stays,219,Harmful Use,stays,general acute hospital,S08000016
S12000026,2013/2014,count,stays,48,Unspecified,stays,general acute hospital,S08000016
S12000026,2012/2013,count,stays,30,Cirrhosis,stays,general acute hospital,S08000016
S12000026,2012/2013,count,stays,57,Unspecified,stays,general acute hospital,S08000016
S12000026,2018/2019,count,stays,33,Unspecified,stays,general acute hospital,S08000016
S12000026,2017/2018,count,stays,24,Unspecified,stays,general acute hospital,S08000016
S12000026,2013/2014,count,stays,39,Withdrawal state,stays,general acute hospital,S08000016
S12000026,2009/2010,count,stays,162,Acute Intoxication,stays,general acute hospital,S08000016
