id,financial_year,admission_type,hb,age,sex,episodes,stays,total_lengthof_episode,total_lengthof_stay,average_lengthof_episode_rate,average_lengthof_stay_rate,patients,age_factor
1,2010/11,All Inpatients,S92000003,Under 18 years,All Sexes,87279,78479,165564,167325,1.9,2.13,58642,NA
2,2010/11,All Inpatients,S92000003,Under 18 years,Female,39370,35453,75326,75914,1.91,2.14,26342,NA
3,2010/11,All Inpatients,S92000003,Under 18 years,Male,47907,43024,90236,91409,1.88,2.12,32298,NA
4,2010/11,All Inpatients,S92000003,0-4 years,All Sexes,44869,40308,87702,89134,1.95,2.21,29354,0-4 years
5,2010/11,All Inpatients,S92000003,0-4 years,Female,19240,17305,37940,38365,1.97,2.22,12670,0-4 years
6,2010/11,All Inpatients,S92000003,0-4 years,Male,25630,23000,49760,50766,1.94,2.21,16684,0-4 years
7,2010/11,All Inpatients,S92000003,10-14 years,All Sexes,15317,13727,28696,28961,1.87,2.11,10502,10-14 years
8,2010/11,All Inpatients,S92000003,10-14 years,Female,7090,6320,13856,14057,1.95,2.22,4735,10-14 years
9,2010/11,All Inpatients,S92000003,10-14 years,Male,8230,7405,14840,14904,1.8,2.01,5765,10-14 years
10,2010/11,All Inpatients,S92000003,15-19 years,All Sexes,23548,20676,47039,46659,2,2.26,15931,15-19 years
11,2010/11,All Inpatients,S92000003,15-19 years,Female,12803,11345,23430,23313,1.83,2.05,8540,15-19 years
12,2010/11,All Inpatients,S92000003,15-19 years,Male,10745,9331,23608,23346,2.2,2.5,7391,15-19 years
13,2010/11,All Inpatients,S92000003,20-24 years,All Sexes,28234,24733,63173,58512,2.24,2.37,19050,20-24 years
14,2010/11,All Inpatients,S92000003,20-24 years,Female,15249,13464,34681,30276,2.27,2.25,10107,20-24 years
15,2010/11,All Inpatients,S92000003,20-24 years,Male,12985,11267,28490,28235,2.19,2.51,8941,20-24 years
16,2010/11,All Inpatients,S92000003,25-29 years,All Sexes,29278,25205,63489,64662,2.17,2.57,18944,25-29 years
17,2010/11,All Inpatients,S92000003,25-29 years,Female,16120,13978,32796,33709,2.03,2.41,10308,25-29 years
18,2010/11,All Inpatients,S92000003,25-29 years,Male,13158,11227,30693,30953,2.33,2.76,8636,25-29 years
19,2010/11,All Inpatients,S92000003,30-34 years,All Sexes,28612,24378,67803,67787,2.37,2.78,18158,30-34 years
20,2010/11,All Inpatients,S92000003,30-34 years,Female,15241,13165,34442,34381,2.26,2.61,9770,30-34 years
21,2010/11,All Inpatients,S92000003,30-34 years,Male,13371,11215,33361,33406,2.5,2.98,8390,30-34 years
22,2010/11,All Inpatients,S92000003,35-39 years,All Sexes,34879,28995,94736,94243,2.72,3.25,21113,35-39 years
23,2010/11,All Inpatients,S92000003,35-39 years,Female,18394,15577,49332,48695,2.68,3.13,11350,35-39 years
24,2010/11,All Inpatients,S92000003,35-39 years,Male,16485,13418,45404,45548,2.75,3.39,9763,35-39 years
25,2010/11,All Inpatients,S92000003,40-44 years,All Sexes,45295,37193,140798,141689,3.11,3.81,26432,40-44 years
26,2010/11,All Inpatients,S92000003,40-44 years,Female,23445,19737,71181,71869,3.04,3.64,14167,40-44 years
27,2010/11,All Inpatients,S92000003,40-44 years,Male,21850,17456,69617,69820,3.19,4,12265,40-44 years
