_id,FinancialYear,FinancialYearQF,AdmissionType,AdmissionTypeQF,HB,HBQF,SIMD,SIMDQF,Episodes,EpisodesQF,Stays,StaysQF,TotalLengthofEpisode,TotalLengthofEpisodeQF,TotalLengthofStay,TotalLengthofStayQF,AverageLengthofEpisodeRate,AverageLengthofEpisodeRateQF,AverageLengthofStayRate,AverageLengthofStayRateQF,Patients,PatientsQF
1,2010/11,"",All Inpatients, d,S92000003, d,1,"",261277,"",190821,"",1275073,"",1272152,"",4.88,"",6.67,"",124149,""
2,2010/11,"",All Inpatients, d,S92000003, d,2,"",222623,"",160928,"",1149883,"",1148976,"",5.17,"",7.14,"",107227,""
3,2010/11,"",All Inpatients, d,S92000003, d,3,"",188050,"",136861,"",972403,"",968064,"",5.17,"",7.07,"",94032,""
4,2010/11,"",All Inpatients, d,S92000003, d,4,"",162760,"",119603,"",835855,"",834945,"",5.14,"",6.98,"",83239,""
5,2010/11,"",All Inpatients, d,S92000003, d,5,"",137932,"",100198,"",706898,"",706486,"",5.12,"",7.05,"",71118,""
6,2010/11,"",All Inpatients, d,S92000003, d,All SIMDs, d,981695,"",715389,"",4968881,"",4959073,"",5.06,"",6.93,"",485946,""
7,2010/11,"",All Inpatients, d,S92000003, d,"",:,9053,"",6978,"",28769,"",28450,"",3.18,"",4.08,"",6181,""
8,2010/11,"",All Inpatients, d,S08000015,"",1,"",22924,"",18660,"",107540,"",108485,"",4.69,"",5.81,"",12535,""
9,2010/11,"",All Inpatients, d,S08000015,"",2,"",20085,"",16277,"",103097,"",105764,"",5.13,"",6.5,"",10979,""
10,2010/11,"",All Inpatients, d,S08000015,"",3,"",9604,"",7722,"",47349,"",47468,"",4.93,"",6.15,"",5361,""
11,2010/11,"",All Inpatients, d,S08000015,"",4,"",7838,"",6426,"",37263,"",37221,"",4.75,"",5.79,"",4558,""
12,2010/11,"",All Inpatients, d,S08000015,"",5,"",6114,"",4955,"",29119,"",29246,"",4.76,"",5.9,"",3598,""
13,2010/11,"",All Inpatients, d,S08000015,"",All SIMDs, d,66931,"",54363,"",325263,"",329033,"",4.86,"",6.05,"",37321,""
14,2010/11,"",All Inpatients, d,S08000015,"","",:,366,"",323,"",895,"",849,"",2.45,"",2.63,"",290,""
15,2010/11,"",All Inpatients, d,S08000016,"",1,"",1257,"",1097,"",5155,"",5569,"",4.1,"",5.08,"",793,""
16,2010/11,"",All Inpatients, d,S08000016,"",2,"",3582,"",2894,"",20863,"",20675,"",5.82,"",7.14,"",2048,""
17,2010/11,"",All Inpatients, d,S08000016,"",3,"",5576,"",4650,"",29876,"",30369,"",5.36,"",6.53,"",3326,""
18,2010/11,"",All Inpatients, d,S08000016,"",4,"",6534,"",5411,"",35528,"",36674,"",5.44,"",6.78,"",3993,""
19,2010/11,"",All Inpatients, d,S08000016,"",5,"",1041,"",857,"",7268,"",7286,"",6.98,"",8.5,"",628,""
20,2010/11,"",All Inpatients, d,S08000016,"",All SIMDs, d,19178,"",15930,"",103337,"",105508,"",5.39,"",6.62,"",11611,""
21,2010/11,"",All Inpatients, d,S08000016,"","",:,1188,"",1021,"",4647,"",4935,"",3.91,"",4.83,"",823,""
22,2010/11,"",All Inpatients, d,S08000017,"",1,"",2285,"",1723,"",9413,"",10404,"",4.12,"",6.04,"",1238,""
23,2010/11,"",All Inpatients, d,S08000017,"",2,"",6404,"",4572,"",36377,"",39683,"",5.68,"",8.68,"",3270,""
24,2010/11,"",All Inpatients, d,S08000017,"",3,"",9447,"",6765,"",56285,"",58593,"",5.96,"",8.66,"",4958,""
25,2010/11,"",All Inpatients, d,S08000017,"",4,"",5342,"",3762,"",31945,"",33943,"",5.98,"",9.02,"",2784,""
26,2010/11,"",All Inpatients, d,S08000017,"",5,"",1509,"",1116,"",6440,"",6794,"",4.27,"",6.09,"",817,""
27,2010/11,"",All Inpatients, d,S08000017,"",All SIMDs, d,25383,"",18248,"",141890,"",150906,"",5.59,"",8.27,"",13370,""
28,2010/11,"",All Inpatients, d,S08000017,"","",:,396,"",310,"",1430,"",1489,"",3.61,"",4.8,"",303,""
29,2010/11,"",All Inpatients, d,S08000019,"",1,"",7624,"",5625,"",34937,"",35917,"",4.58,"",6.39,"",4073,""
30,2010/11,"",All Inpatients, d,S08000019,"",2,"",10790,"",7767,"",51748,"",52674,"",4.8,"",6.78,"",5702,""
31,2010/11,"",All Inpatients, d,S08000019,"",3,"",7479,"",5469,"",37098,"",37933,"",4.96,"",6.94,"",4084,""
32,2010/11,"",All Inpatients, d,S08000019,"",4,"",6953,"",4979,"",33919,"",34147,"",4.88,"",6.86,"",3830,""
33,2010/11,"",All Inpatients, d,S08000019,"",5,"",5391,"",4047,"",24461,"",25306,"",4.54,"",6.25,"",3171,""
34,2010/11,"",All Inpatients, d,S08000019,"",All SIMDs, d,38405,"",28015,"",182658,"",186430,"",4.76,"",6.65,"",20986,""
35,2010/11,"",All Inpatients, d,S08000019,"","",:,168,"",128,"",495,"",453,"",2.95,"",3.54,"",126,""
36,2010/11,"",All Inpatients, d,S08000020,"",1,"",8627,"",6025,"",41571,"",42522,"",4.82,"",7.06,"",4080,""
37,2010/11,"",All Inpatients, d,S08000020,"",2,"",16668,"",11254,"",84649,"",83993,"",5.08,"",7.46,"",7846,""
38,2010/11,"",All Inpatients, d,S08000020,"",3,"",23011,"",15598,"",120211,"",118104,"",5.22,"",7.57,"",11407,""
39,2010/11,"",All Inpatients, d,S08000020,"",4,"",23770,"",16393,"",123914,"",123384,"",5.21,"",7.53,"",12063,""
40,2010/11,"",All Inpatients, d,S08000020,"",5,"",23690,"",16608,"",117766,"",118354,"",4.97,"",7.13,"",12293,""
41,2010/11,"",All Inpatients, d,S08000020,"",All SIMDs, d,96526,"",66424,"",490597,"",488846,"",5.08,"",7.36,"",48217,""
42,2010/11,"",All Inpatients, d,S08000020,"","",:,760,"",546,"",2486,"",2489,"",3.27,"",4.56,"",528,""
43,2010/11,"",All Inpatients, d,S08000022,"",1,"",5356,"",3956,"",29170,"",29316,"",5.45,"",7.41,"",2734,""
44,2010/11,"",All Inpatients, d,S08000022,"",2,"",11036,"",8312,"",57363,"",57375,"",5.2,"",6.9,"",5831,""
45,2010/11,"",All Inpatients, d,S08000022,"",3,"",15439,"",11601,"",85823,"",86187,"",5.56,"",7.43,"",8472,""
46,2010/11,"",All Inpatients, d,S08000022,"",4,"",12478,"",9250,"",67928,"",68797,"",5.44,"",7.44,"",6763,""
47,2010/11,"",All Inpatients, d,S08000022,"",5,"",3289,"",2319,"",15888,"",16909,"",4.83,"",7.29,"",1741,""
48,2010/11,"",All Inpatients, d,S08000022,"",All SIMDs, d,48733,"",36366,"",259221,"",261870,"",5.32,"",7.2,"",26450,""
