_id,FinancialYear,FinancialYearQF,AdmissionType,AdmissionTypeQF,HB,HBQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,Episodes,EpisodesQF,Stays,StaysQF,TotalLengthofEpisode,TotalLengthofEpisodeQF,TotalLengthofStay,TotalLengthofStayQF,AverageLengthofEpisodeRate,AverageLengthofEpisodeRateQF,AverageLengthofStayRate,AverageLengthofStayRateQF,Patients,PatientsQF
1,2010/11,"",All Inpatients, d,S92000003, d,A1,"",General Medicine,"",328939,"",260532,"",1123796,"",1123796,"",3.42,"",4.31,"",188879,""
2,2010/11,"",All Inpatients, d,S92000003, d,A2,"",Cardiology,"",39230,"",27804,"",131686,"",131686,"",3.36,"",4.74,"",23701,""
3,2010/11,"",All Inpatients, d,S92000003, d,A6,"",Infectious Diseases,"",5401,"",5135,"",39956,"",39956,"",7.4,"",7.78,"",4717,""
4,2010/11,"",All Inpatients, d,S92000003, d,A7,"",Dermatology,"",1705,"",1694,"",21880,"",21880,"",12.83,"",12.92,"",1353,""
5,2010/11,"",All Inpatients, d,S92000003, d,A8,"",Endocrinology & Diabetes,"",790,"",722,"",2210,"",2210,"",2.8,"",3.06,"",651,""
6,2010/11,"",All Inpatients, d,S92000003, d,A9,"",Gastroenterology,"",10550,"",11729,"",57540,"",57540,"",5.45,"",4.91,"",7469,""
7,2010/11,"",All Inpatients, d,S92000003, d,AB,"",Geriatric Medicine,"",66593,"",49036,"",1105416,"",1105416,"",16.6,"",22.54,"",39181,""
8,2010/11,"",All Inpatients, d,S92000003, d,AC,"",Homeopathy,"",390,"",387,"",2054,"",2054,"",5.27,"",5.31,"",239,""
9,2010/11,"",All Inpatients, d,S92000003, d,AD,"",Medical Oncology,"",4547,"",4474,"",21328,"",21328,"",4.69,"",4.77,"",2154,""
10,2010/11,"",All Inpatients, d,S92000003, d,AF,"",Paediatrics,"",45833,"",44242,"",63796,"",63796,"",1.39,"",1.44,"",33842,""
11,2010/11,"",All Inpatients, d,S92000003, d,AG,"",Renal Medicine,"",7197,"",6287,"",55400,"",55400,"",7.7,"",8.81,"",3727,""
12,2010/11,"",All Inpatients, d,S92000003, d,AH,"",Neurology,"",5406,"",4903,"",25821,"",25821,"",4.78,"",5.27,"",3762,""
13,2010/11,"",All Inpatients, d,S92000003, d,"",z,All Acute Specialties, d,862161,"",712726,"",4479021,"",4479021,"",5.2,"",6.28,"",415701,""
14,2010/11,"",All Inpatients, d,S92000003, d,"",z,All Specialties, d,981695,"",827832,"",4968881,"",4968881,"",5.06,"",6,"",485946,""
